MMWR_Week,Week_Start,Week_End,ZIP_Code,ILI_Activity_Level,RECORD_ID,ZIP_Code_Location
47,11/19/2023,11/25/2023,60661,7,2023-47-60661,POINT (-87.644283 41.882786)
14,03/31/2024,04/06/2024,60620,7,2024-14-60620,POINT (-87.651656 41.740873)
14,03/31/2024,04/06/2024,60645,7,2024-14-60645,POINT (-87.695049 42.008927)
40,09/29/2019,10/05/2019,60615,4,2019-40-60615,POINT (-87.602725 41.801993)
41,10/06/2019,10/12/2019,60634,4,2019-41-60634,POINT (-87.797373 41.944967)
41,10/06/2019,10/12/2019,60654,1,2019-41-60654,POINT (-87.636354 41.892485)
41,10/06/2019,10/12/2019,60659,3,2019-41-60659,POINT (-87.703266 41.990803)
42,10/13/2019,10/19/2019,60604,1,2019-42-60604,POINT (-87.629029 41.878153)
43,10/20/2019,10/26/2019,60659,4,2019-43-60659,POINT (-87.703266 41.990803)
44,10/27/2019,11/02/2019,60603,1,2019-44-60603,POINT (-87.625473 41.880112)
44,10/27/2019,11/02/2019,60604,1,2019-44-60604,POINT (-87.629029 41.878153)
44,10/27/2019,11/02/2019,60615,3,2019-44-60615,POINT (-87.602725 41.801993)
45,11/03/2019,11/09/2019,60615,7,2019-45-60615,POINT (-87.602725 41.801993)
45,11/03/2019,11/09/2019,60634,7,2019-45-60634,POINT (-87.797373 41.944967)
46,11/10/2019,11/16/2019,60604,1,2019-46-60604,POINT (-87.629029 41.878153)
46,11/10/2019,11/16/2019,60659,6,2019-46-60659,POINT (-87.703266 41.990803)
47,11/17/2019,11/23/2019,60603,1,2019-47-60603,POINT (-87.625473 41.880112)
47,11/17/2019,11/23/2019,60659,6,2019-47-60659,POINT (-87.703266 41.990803)
48,11/24/2019,11/30/2019,60615,2,2019-48-60615,POINT (-87.602725 41.801993)
48,11/24/2019,11/30/2019,60634,9,2019-48-60634,POINT (-87.797373 41.944967)
48,11/24/2019,11/30/2019,60659,4,2019-48-60659,POINT (-87.703266 41.990803)
49,12/01/2019,12/07/2019,60603,1,2019-49-60603,POINT (-87.625473 41.880112)
49,12/01/2019,12/07/2019,60615,9,2019-49-60615,POINT (-87.602725 41.801993)
49,12/01/2019,12/07/2019,60659,8,2019-49-60659,POINT (-87.703266 41.990803)
50,12/08/2019,12/14/2019,60603,1,2019-50-60603,POINT (-87.625473 41.880112)
51,12/15/2019,12/21/2019,60615,10,2019-51-60615,POINT (-87.602725 41.801993)
51,12/15/2019,12/21/2019,60634,10,2019-51-60634,POINT (-87.797373 41.944967)
51,12/15/2019,12/21/2019,60659,10,2019-51-60659,POINT (-87.703266 41.990803)
52,12/22/2019,12/28/2019,60603,1,2019-52-60603,POINT (-87.625473 41.880112)
52,12/22/2019,12/28/2019,60604,1,2019-52-60604,POINT (-87.629029 41.878153)
52,12/22/2019,12/28/2019,60634,10,2019-52-60634,POINT (-87.797373 41.944967)
1,12/29/2019,01/04/2020,60634,10,2020-01-60634,POINT (-87.797373 41.944967)
1,12/29/2019,01/04/2020,60654,2,2020-01-60654,POINT (-87.636354 41.892485)
1,12/29/2019,01/04/2020,60659,10,2020-01-60659,POINT (-87.703266 41.990803)
