mmwr_week,week,week_start,week_end,season,data_source,essence_category,respiratory_category,visit_type,demographic_category,demographic_group,percent,current_week_ending
201540,40,10/4/2015,10/10/2015,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.08,10/5/2024
201541,41,10/11/2015,10/17/2015,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.09,10/12/2024
201542,42,10/18/2015,10/24/2015,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.08,10/19/2024
201543,43,10/25/2015,10/31/2015,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.07,10/26/2024
201544,44,11/1/2015,11/7/2015,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.08,11/2/2024
201545,45,11/8/2015,11/14/2015,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.08,11/9/2024
201546,46,11/15/2015,11/21/2015,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.08,11/16/2024
201547,47,11/22/2015,11/28/2015,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.08,11/23/2024
201548,48,11/29/2015,12/5/2015,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.09,11/30/2024
201549,49,12/6/2015,12/12/2015,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.09,12/7/2024
201550,50,12/13/2015,12/19/2015,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.09,12/14/2024
201551,51,12/20/2015,12/26/2015,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.12,12/21/2024
201552,52,12/27/2015,1/2/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.11,12/28/2024
201601,1,1/3/2016,1/9/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.11,1/4/2025
