filename,time_interval,best_lag
60601,2019-01-01 to 2024-12-31,0
60601,2019-01-01 to 2019-12-31,-10
60601,2020-01-01 to 2020-12-31,-10
60601,2021-01-01 to 2021-12-31,4
60601,2022-01-01 to 2022-12-31,-10
60601,2023-01-01 to 2023-12-31,-6
60601,2024-01-01 to 2024-12-31,-8
60602,2019-01-01 to 2024-12-31,0
60602,2019-01-01 to 2019-12-31,-10
60602,2020-01-01 to 2020-12-31,-10
60602,2021-01-01 to 2021-12-31,-10
60602,2022-01-01 to 2022-12-31,-10
60602,2023-01-01 to 2023-12-31,-6
60602,2024-01-01 to 2024-12-31,-1
60603,2019-01-01 to 2024-12-31,-10
60603,2019-01-01 to 2019-12-31,-9
60603,2020-01-01 to 2020-12-31,-9
60603,2021-01-01 to 2021-12-31,3
60603,2022-01-01 to 2022-12-31,-10
60603,2023-01-01 to 2023-12-31,-5
60603,2024-01-01 to 2024-12-31,-10
60604,2019-01-01 to 2024-12-31,0
60604,2019-01-01 to 2019-12-31,-10
60604,2020-01-01 to 2020-12-31,-10
60604,2021-01-01 to 2021-12-31,-6
60604,2022-01-01 to 2022-12-31,-10
60604,2023-01-01 to 2023-12-31,-6
60604,2024-01-01 to 2024-12-31,4
60605,2019-01-01 to 2024-12-31,0
60605,2019-01-01 to 2019-12-31,-10
60605,2020-01-01 to 2020-12-31,-10
60605,2021-01-01 to 2021-12-31,10
60605,2022-01-01 to 2022-12-31,-10
60605,2023-01-01 to 2023-12-31,-6
60605,2024-01-01 to 2024-12-31,10
60606,2019-01-01 to 2024-12-31,-10
60606,2019-01-01 to 2019-12-31,10
60606,2020-01-01 to 2020-12-31,6
60606,2021-01-01 to 2021-12-31,6
60606,2022-01-01 to 2022-12-31,-9
60606,2023-01-01 to 2023-12-31,-10
60606,2024-01-01 to 2024-12-31,-10
60607,2019-01-01 to 2024-12-31,-10
60607,2019-01-01 to 2019-12-31,-3
60607,2020-01-01 to 2020-12-31,9
60607,2021-01-01 to 2021-12-31,9
60607,2022-01-01 to 2022-12-31,-9
60607,2023-01-01 to 2023-12-31,-10
60607,2024-01-01 to 2024-12-31,-10
60608,2019-01-01 to 2024-12-31,-9
60608,2019-01-01 to 2019-12-31,2
60608,2020-01-01 to 2020-12-31,2
60608,2021-01-01 to 2021-12-31,-10
60608,2022-01-01 to 2022-12-31,-10
60608,2023-01-01 to 2023-12-31,-10
60608,2024-01-01 to 2024-12-31,-3
60609,2019-01-01 to 2024-12-31,-6
60609,2019-01-01 to 2019-12-31,-10
60609,2020-01-01 to 2020-12-31,9
60609,2021-01-01 to 2021-12-31,6
60609,2022-01-01 to 2022-12-31,6
60609,2023-01-01 to 2023-12-31,-9
60609,2024-01-01 to 2024-12-31,-10
60610,2019-01-01 to 2024-12-31,-10
60610,2019-01-01 to 2019-12-31,5
60610,2020-01-01 to 2020-12-31,5
60610,2021-01-01 to 2021-12-31,5
60610,2022-01-01 to 2022-12-31,-9
60610,2023-01-01 to 2023-12-31,-10
60610,2024-01-01 to 2024-12-31,-10
