,Best Lag
2019-01-01 to 2024-12-31,-7
2019-01-01 to 2023-12-31,-9
2019-01-01 to 2022-12-31,-10
2019-01-01 to 2021-12-31,10
2019-01-01 to 2020-12-31,-8
2019-01-01 to 2019-12-31,0
2020-01-01 to 2020-12-31,-8
2020-01-01 to 2021-12-31,-7
2020-01-01 to 2022-12-31,-8
2020-01-01 to 2023-12-31,-9
2020-01-01 to 2024-12-31,-7
2021-01-01 to 2021-12-31,-2
2021-01-01 to 2022-12-31,-7
2021-01-01 to 2023-12-31,-8
2021-01-01 to 2024-12-31,-10
2022-01-01 to 2022-12-31,-2
2022-01-01 to 2023-12-31,-10
2022-01-01 to 2024-12-31,-8
2023-01-01 to 2023-12-31,0
2023-01-01 to 2024-12-31,-3
2024-01-01 to 2024-12-31,-10
