MMWR_Week,Week_Start,Week_End,ZIP_Code,ILI_Activity_Level,RECORD_ID,ZIP_Code_Location
40,2019-09-29,10/05/2019,60666,1,2019-40-60666,POINT (-87.896371 41.979511)
41,2019-10-06,10/12/2019,60666,1,2019-41-60666,POINT (-87.896371 41.979511)
42,2019-10-13,10/19/2019,60666,1,2019-42-60666,POINT (-87.896371 41.979511)
43,2019-10-20,10/26/2019,60666,1,2019-43-60666,POINT (-87.896371 41.979511)
44,2019-10-27,11/02/2019,60666,1,2019-44-60666,POINT (-87.896371 41.979511)
45,2019-11-03,11/09/2019,60666,1,2019-45-60666,POINT (-87.896371 41.979511)
46,2019-11-10,11/16/2019,60666,1,2019-46-60666,POINT (-87.896371 41.979511)
47,2019-11-17,11/23/2019,60666,1,2019-47-60666,POINT (-87.896371 41.979511)
48,2019-11-24,11/30/2019,60666,1,2019-48-60666,POINT (-87.896371 41.979511)
49,2019-12-01,12/07/2019,60666,1,2019-49-60666,POINT (-87.896371 41.979511)
50,2019-12-08,12/14/2019,60666,1,2019-50-60666,POINT (-87.896371 41.979511)
51,2019-12-15,12/21/2019,60666,1,2019-51-60666,POINT (-87.896371 41.979511)
52,2019-12-22,12/28/2019,60666,1,2019-52-60666,POINT (-87.896371 41.979511)
1,2019-12-29,01/04/2020,60666,1,2020-01-60666,POINT (-87.896371 41.979511)
2,2020-01-05,01/11/2020,60666,1,2020-02-60666,POINT (-87.896371 41.979511)
3,2020-01-12,01/18/2020,60666,1,2020-03-60666,POINT (-87.896371 41.979511)
4,2020-01-19,01/25/2020,60666,1,2020-04-60666,POINT (-87.896371 41.979511)
5,2020-01-26,02/01/2020,60666,1,2020-05-60666,POINT (-87.896371 41.979511)
6,2020-02-02,02/08/2020,60666,1,2020-06-60666,POINT (-87.896371 41.979511)
7,2020-02-09,02/15/2020,60666,10,2020-07-60666,POINT (-87.896371 41.979511)
8,2020-02-16,02/22/2020,60666,1,2020-08-60666,POINT (-87.896371 41.979511)
9,2020-02-23,02/29/2020,60666,1,2020-09-60666,POINT (-87.896371 41.979511)
10,2020-03-01,03/07/2020,60666,1,2020-10-60666,POINT (-87.896371 41.979511)
11,2020-03-08,03/14/2020,60666,1,2020-11-60666,POINT (-87.896371 41.979511)
12,2020-03-15,03/21/2020,60666,1,2020-12-60666,POINT (-87.896371 41.979511)
13,2020-03-22,03/28/2020,60666,1,2020-13-60666,POINT (-87.896371 41.979511)
14,2020-03-29,04/04/2020,60666,1,2020-14-60666,POINT (-87.896371 41.979511)
15,2020-04-05,04/11/2020,60666,1,2020-15-60666,POINT (-87.896371 41.979511)
16,2020-04-12,04/18/2020,60666,1,2020-16-60666,POINT (-87.896371 41.979511)
17,2020-04-19,04/25/2020,60666,1,2020-17-60666,POINT (-87.896371 41.979511)
18,2020-04-26,05/02/2020,60666,1,2020-18-60666,POINT (-87.896371 41.979511)
19,2020-05-03,05/09/2020,60666,1,2020-19-60666,POINT (-87.896371 41.979511)
20,2020-05-10,05/16/2020,60666,1,2020-20-60666,POINT (-87.896371 41.979511)
40,2020-09-27,10/03/2020,60666,1,2020-40-60666,POINT (-87.896371 41.979511)
41,2020-10-04,10/10/2020,60666,1,2020-41-60666,POINT (-87.896371 41.979511)
42,2020-10-11,10/17/2020,60666,1,2020-42-60666,POINT (-87.896371 41.979511)
43,2020-10-18,10/24/2020,60666,1,2020-43-60666,POINT (-87.896371 41.979511)
44,2020-10-25,10/31/2020,60666,1,2020-44-60666,POINT (-87.896371 41.979511)
45,2020-11-01,11/07/2020,60666,1,2020-45-60666,POINT (-87.896371 41.979511)
46,2020-11-08,11/14/2020,60666,1,2020-46-60666,POINT (-87.896371 41.979511)
47,2020-11-15,11/21/2020,60666,1,2020-47-60666,POINT (-87.896371 41.979511)
48,2020-11-22,11/28/2020,60666,1,2020-48-60666,POINT (-87.896371 41.979511)
49,2020-11-29,12/05/2020,60666,1,2020-49-60666,POINT (-87.896371 41.979511)
50,2020-12-06,12/12/2020,60666,1,2020-50-60666,POINT (-87.896371 41.979511)
51,2020-12-13,12/19/2020,60666,1,2020-51-60666,POINT (-87.896371 41.979511)
52,2020-12-20,12/26/2020,60666,1,2020-52-60666,POINT (-87.896371 41.979511)
53,2020-12-27,01/02/2021,60666,1,2021-53-60666,POINT (-87.896371 41.979511)
1,2021-01-03,01/09/2021,60666,1,2021-01-60666,POINT (-87.896371 41.979511)
2,2021-01-10,01/16/2021,60666,1,2021-02-60666,POINT (-87.896371 41.979511)
3,2021-01-17,01/23/2021,60666,1,2021-03-60666,POINT (-87.896371 41.979511)
4,2021-01-24,01/30/2021,60666,1,2021-04-60666,POINT (-87.896371 41.979511)
5,2021-01-31,02/06/2021,60666,1,2021-05-60666,POINT (-87.896371 41.979511)
6,2021-02-07,02/13/2021,60666,1,2021-06-60666,POINT (-87.896371 41.979511)
7,2021-02-14,02/20/2021,60666,1,2021-07-60666,POINT (-87.896371 41.979511)
8,2021-02-21,02/27/2021,60666,1,2021-08-60666,POINT (-87.896371 41.979511)
9,2021-02-28,03/06/2021,60666,1,2021-09-60666,POINT (-87.896371 41.979511)
10,2021-03-07,03/13/2021,60666,1,2021-10-60666,POINT (-87.896371 41.979511)
11,2021-03-14,03/20/2021,60666,1,2021-11-60666,POINT (-87.896371 41.979511)
12,2021-03-21,03/27/2021,60666,1,2021-12-60666,POINT (-87.896371 41.979511)
13,2021-03-28,04/03/2021,60666,1,2021-13-60666,POINT (-87.896371 41.979511)
14,2021-04-04,04/10/2021,60666,1,2021-14-60666,POINT (-87.896371 41.979511)
15,2021-04-11,04/17/2021,60666,1,2021-15-60666,POINT (-87.896371 41.979511)
16,2021-04-18,04/24/2021,60666,1,2021-16-60666,POINT (-87.896371 41.979511)
17,2021-04-25,05/01/2021,60666,1,2021-17-60666,POINT (-87.896371 41.979511)
18,2021-05-02,05/08/2021,60666,1,2021-18-60666,POINT (-87.896371 41.979511)
19,2021-05-09,05/15/2021,60666,1,2021-19-60666,POINT (-87.896371 41.979511)
20,2021-05-16,05/22/2021,60666,1,2021-20-60666,POINT (-87.896371 41.979511)
21,2021-05-23,05/29/2021,60666,1,2021-21-60666,POINT (-87.896371 41.979511)
22,2021-05-30,06/05/2021,60666,1,2021-22-60666,POINT (-87.896371 41.979511)
23,2021-06-06,06/12/2021,60666,1,2021-23-60666,POINT (-87.896371 41.979511)
24,2021-06-13,06/19/2021,60666,1,2021-24-60666,POINT (-87.896371 41.979511)
25,2021-06-20,06/26/2021,60666,1,2021-25-60666,POINT (-87.896371 41.979511)
26,2021-06-27,07/03/2021,60666,1,2021-26-60666,POINT (-87.896371 41.979511)
27,2021-07-04,07/10/2021,60666,1,2021-27-60666,POINT (-87.896371 41.979511)
